event,date,country,city,artist,album,track,isrc,linkid
pageview,2021-08-20,United Arab Emirates,Ras al-Khaimah,"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),QZJRC1945204,c2c876ab-b093-4750-9449-6b4913da6af3
pageview,2021-08-20,Switzerland,Evilard,Catie Turner,Heartbroken and Milking It,Love on the Moon,USAT22102774,d601f481-873f-49d5-a313-3d4aed53da78
pageview,2021-08-20,United States,Stamford,KenTheMan,I'm Perfect,I'm Perfect,US39N2102090,190c7170-4044-4c97-9709-926917155b02
pageview,2021-08-20,Norway,Stavanger,Playboi Carti,Whole Lotta Red,Punk Monk,USUM72024696,7ca4cac1-ae45-4a4f-b782-2a209f5f0138
pageview,2021-08-20,United Kingdom,Battersea,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8
pageview,2021-08-20,United Kingdom,Southend-on-Sea,"Craymer, AIIVAWN",Cant Take My Eyes off You,Cant Take My Eyes off You,QZHNB1989009,fd2b29a0-936f-4093-aa91-79808db7cb1c
pageview,2021-08-22,France,Bourg-en-Bresse,Roddy Ricch,Late At Night,Late At Night,USAT22102236,a82e72d8-523f-43ab-9fd0-992605d54b4e
pageview,2021-08-22,Saudi Arabia,Jeddah,Henry Mancini,The Pink Panther (Original Motion Picture Soundtrack),Pink Panther Theme,US3M50672322,66c24208-4bfa-4959-a673-80cdc5577fda
pageview,2021-08-22,Iraq,Sulaymaniyah,Ariana Grande,"thank u, next",7 rings,USUM71900110,184041ab-9c90-4c29-8b6b-6ac2261be2d3
pageview,2021-08-22,Morocco,Casablanca,"Lunay, Anitta",El Niño,TODO O NADA,USA2P2117978,33335d11-744e-481b-9ba7-30086ca46edd
pageview,2021-08-22,Netherlands,Wijk bij Duurstede,Paramore,After Laughter,Hard Times,USAT21700948,1c7a22a2-6a58-4f9b-a615-5e05fa8cacc0
pageview,2021-08-22,France,Louplande,Anne-Marie,Beautiful,Beautiful,GBAHS2100225,522da5cc-8177-4140-97a7-a84fdb4caf1c
pageview,2021-08-22,Libya,Benghazi,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8
pageview,2021-08-22,United States,Austin,"Kayla Nicole, Taylor Girlz, Flo Milli","Bundles 2 (feat. Flo Milli, Taylor Girlz)","Bundles 2 (feat. Flo Milli, Taylor Girlz)",QMCE32100359,fbf4b935-f961-4b13-b1d8-45ad47093559
pageview,2021-08-22,Germany,Garbsen,Hoàng Read,The Magic Bomb,The Magic Bomb - Extended Mix,FR59R2143389,8f990f44-6a5d-4294-ab0b-f74e0a8f3b25
pageview,2021-08-19,Peru,Ica,Kim Loaiza,Apaga la Luz,Apaga la Luz,Unknown,6cd9def8-dc21-5d69-966f-f0147f42b9d0
pageview,2021-08-19,Turkey,Mugla,KenTheMan,I'm Perfect,I'm Perfect,US39N2102090,190c7170-4044-4c97-9709-926917155b02
pageview,2021-08-19,United States,Apopka,Bo Burnham,Inside (The Songs),Bezos I,USA2P2122060,1cded359-7b54-4086-987e-4cae307a446f
pageview,2021-08-19,Germany,Eckernfoerde,Pop Smoke,Meet The Woo,Dior,USUM71914275,e0e33efc-c062-4fa7-97d1-2c3d14432455
pageview,2021-08-19,Germany,Hamburg,"DMNDS, Strange Fruits Music, Fallen Roses, Lujavo, Nito-Onna",Calabria (feat. Lujavo & Nito-Onna),Calabria (feat. Lujavo & Nito-Onna),GBSMU9833211,681d888a-59ce-4acb-b7c5-95dab0c063d9
pageview,2021-08-19,Dominican Republic,Santo Domingo Este,Vitamin A,Happy Birthday,Happy Birthday,US3DF1612162,f563adc4-d7c6-4d70-93d0-06bab552f642
pageview,2021-08-19,India,Ludhiana,Cassie,Cassie (U.S. Version),Me & U,USBB40610361,ca74d4ae-51ce-451d-8bd7-809443d1798a
pageview,2021-08-19,Saudi Arabia,Riyadh,Young Scooter,The Recipe,Never Broke Again (feat. YoungBoy Never Broken Again),Unknown,8c7849a7-cb1f-5482-ae81-043546086f2e
pageview,2021-08-19,France,Meudon,"Leto, Ninho",Vie de star feat Ninho,Vie de star feat Ninho,FRZ042001216,e5575c91-3e64-4fcd-83f9-32d6743d8534
pageview,2021-08-19,India,Delhi,Catie Turner,Heartbroken and Milking It,Love on the Moon,USAT22102774,d601f481-873f-49d5-a313-3d4aed53da78
pageview,2021-08-19,United States,Orlando,H.E.R.,Comfortable,Comfortable,USRC11903472,77affb7c-b1bc-46b0-8930-b6449d19891f
pageview,2021-08-20,United States,Burlington,SoFaygo,Angelic 7,Knock Knock,QZFYX2070670,cb8d374a-50a0-4d4b-8dba-b84892084f1a
pageview,2021-08-20,United States,Toppenish,Nohidea,Esuna,falling down (feat. shiloh),QM42K1742835,eb64dde2-68be-4717-9762-85af891ed7db
pageview,2021-08-20,Netherlands,Vlaardingen,"Tyga, Moneybagg Yo",Splash (feat. Moneybagg Yo),Splash (feat. Moneybagg Yo),USUYG1371569,efa4cdfe-f905-4e60-9de3-17f3095a120f
pageview,2021-08-20,Norway,Kragero,Justin Bieber,Justice,Peaches,USUM72102636,6add5818-33b1-4ab1-977d-435af50e9b10
pageview,2021-08-20,United States,Minneapolis,Christina Perri,A Thousand Years,A Thousand Years,USAT21102141,f33886d8-612b-46c8-8d1b-db631523f1a4
pageview,2021-08-20,United States,Washington,The Weeknd,Take My Breath,Take My Breath,USUG12102076,98590adf-3c0b-4cca-8140-6d1aedad6832
pageview,2021-08-20,Greece,Larissa,Hoàng Read,The Magic Bomb,The Magic Bomb - Extended Mix,FR59R2143389,8f990f44-6a5d-4294-ab0b-f74e0a8f3b25
pageview,2021-08-20,Denmark,Silkeborg,"jetsonmade, Jack Harlow",Sweet Action,I WANNA SEE SOME ASS (feat. jetsonmade),USAT22001019,ceb384f8-e4b2-4034-8521-01635e02f030
pageview,2021-08-25,Turkey,Ankara,"Greeicy, Alejandro Sanz",Lejos Conmigo,Lejos Conmigo,USUM72113653,165ee0c1-f116-42e4-818d-e22250077010
pageview,2021-08-25,Algeria,Algiers,"Shouse, David Guetta",Love Tonight (David Guetta Remix),Love Tonight - David Guetta Remix,USA2P2120717,53da9d1d-7fa4-489e-a94a-e370beebdd7f
pageview,2021-08-25,United States,Gilbert,"Shawn Mendes, Tainy",Summer Of Love,Summer of Love (Shawn Mendes & Tainy),USUM72114707,d5317591-872a-487d-87cb-10a516643d5f
pageview,2021-08-25,France,Pontarlier,KenTheMan,I'm Perfect,I'm Perfect,US39N2102090,190c7170-4044-4c97-9709-926917155b02
pageview,2021-08-25,Mexico,Querétaro City,Cassie,Cassie (U.S. Version),Me & U,USBB40610361,ca74d4ae-51ce-451d-8bd7-809443d1798a
pageview,2021-08-25,United States,Jonesborough,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8
pageview,2021-08-25,Serbia,Belgrade,Megan Thee Stallion,Thot Shit,Thot Shit,QMCE32100340,f6d1717b-7707-4747-a048-37a36bf4048c
pageview,2021-08-25,Saudi Arabia,Dammam,Bazzi,COSMIC,Mine,USAT21704227,58802900-e783-45d7-be07-271d83efd3f8
pageview,2021-08-25,Pakistan,Faisalabad,Roddy Ricch,Late At Night,Late At Night,USAT22102236,a82e72d8-523f-43ab-9fd0-992605d54b4e
pageview,2021-08-25,Pakistan,Ghotki,Reyanna Maria,So Pretty,So Pretty,USUM72100871,23199824-9cf5-4b98-942a-34965c3b0cc2
pageview,2021-08-25,Pakistan,Multan,Nohidea,Esuna,falling down (feat. shiloh),QM42K1742835,eb64dde2-68be-4717-9762-85af891ed7db
pageview,2021-08-25,United States,Brooklyn,Roddy Ricch,Late At Night,Late At Night,USAT22102236,a82e72d8-523f-43ab-9fd0-992605d54b4e
pageview,2021-08-25,Ukraine,Vinnytsia,Justin Bieber,Mari Berdansa,Yummy,USUM71923046,638b0c7a-8f87-47c0-b444-8ac66d3d7054
pageview,2021-08-19,United States,Ocala,YoungBoy Never Broke Again,I Ain't Scared,I Ain't Scared,Unknown,d9448884-af1f-5f8d-95d0-ce93e4369901
